hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,booking_changes,adr,required_car_parking_spaces,total_of_special_requests,reservation_status_date
City Hotel,1,143,2017,August,20,2,1,2,0,0,125,0,0,2017/3/31
City Hotel,0,75,2017,January,8,2,1,1,0,0,67,0,2,2017/1/11
City Hotel,0,21,2017,February,6,1,1,1,0,0,83,0,0,2017/2/8
City Hotel,0,98,2017,April,14,1,2,2,0,0,90.1,0,0,2017/4/17
City Hotel,1,173,2017,May,9,0,4,2,0,0,112.5,0,2,2017/2/23
City Hotel,0,199,2017,August,6,2,5,3,0,0,183.21,0,2,2017/8/13
City Hotel,1,67,2016,October,17,1,0,1,0,0,115,0,0,2016/9/27
City Hotel,0,8,2016,September,1,0,1,1,0,0,139,0,0,2016/9/2
City Hotel,0,7,2016,February,20,0,1,2,0,0,93,0,1,2016/2/21
City Hotel,0,72,2016,June,22,0,2,2,0,0,120.6,1,1,2016/6/24
City Hotel,0,153,2017,May,15,1,5,2,0,1,215.55,0,1,2017/5/21
City Hotel,1,104,2017,May,15,1,2,1,0,0,160,0,0,2017/1/31
City Hotel,1,132,2017,May,28,2,2,2,0,0,99,0,0,2017/5/28
City Hotel,1,193,2016,June,20,1,2,2,0,0,120,0,0,2016/1/18
City Hotel,0,121,2017,July,29,2,5,2,0,0,135,0,0,2017/8/5
City Hotel,1,99,2015,October,30,2,2,2,0,0,65,0,0,2015/10/12
City Hotel,0,18,2017,May,22,1,1,2,0,0,120,0,1,2017/5/24
City Hotel,1,124,2017,April,8,1,1,2,0,0,99,0,1,2017/3/31
City Hotel,0,56,2017,April,6,0,1,2,0,1,127.5,0,0,2017/4/7
City Hotel,0,6,2016,December,30,1,2,2,0,0,126,0,0,2017/1/2
City Hotel,0,125,2016,July,5,0,4,2,0,0,118.58,0,1,2016/7/9
City Hotel,0,186,2017,June,28,0,3,3,0,1,166.5,0,0,2017/7/1
City Hotel,0,142,2016,May,29,2,5,2,0,1,110.75,0,0,2016/6/5
City Hotel,0,12,2016,January,15,0,2,2,0,0,77,0,1,2016/1/17
City Hotel,0,116,2017,May,27,0,1,2,0,0,126,0,0,2017/5/28
City Hotel,0,197,2016,August,18,0,3,2,0,0,112,0,1,2016/8/21
City Hotel,1,350,2016,June,17,0,2,1,0,0,130,0,0,2015/8/11
City Hotel,0,226,2016,July,22,0,2,2,0,0,76.5,0,1,2016/7/24
City Hotel,1,16,2016,October,29,2,1,2,0,0,140,0,2,2016/10/24
City Hotel,0,158,2016,July,3,2,3,2,0,0,99.45,0,1,2016/7/8
City Hotel,0,7,2017,June,7,0,2,1,0,0,121.83,0,0,2017/6/9
City Hotel,0,120,2016,May,12,0,1,2,0,0,72.76,0,0,2016/5/13
City Hotel,0,68,2016,October,25,0,4,2,0,0,71.46,0,1,2016/10/29
City Hotel,0,186,2016,August,27,0,1,3,0,0,137.7,1,0,2016/8/28
City Hotel,0,50,2016,January,24,2,3,2,0,0,75.95,0,1,2016/1/29
City Hotel,0,6,2016,August,17,0,1,1,0,0,79,0,0,2016/8/18
City Hotel,0,45,2017,April,24,1,2,2,0,0,89.1,0,0,2017/4/27
City Hotel,1,272,2016,August,5,0,1,2,0,0,65,0,0,2015/12/18
City Hotel,0,13,2016,July,19,0,3,2,1,0,208.83,0,3,2016/7/22
City Hotel,1,88,2017,January,29,2,0,2,0,0,79.2,0,0,2017/1/29
City Hotel,1,190,2017,July,17,1,2,2,0,2,89.1,0,0,2017/1/10
City Hotel,0,288,2016,May,5,0,3,2,0,0,81.67,0,0,2016/5/8
City Hotel,0,0,2017,March,9,0,1,1,0,0,103,0,0,2017/3/10
City Hotel,0,241,2017,June,9,0,2,2,0,0,89.1,0,1,2017/6/11
City Hotel,1,34,2015,August,5,0,2,2,0,0,62,0,0,2015/7/29
City Hotel,0,50,2016,February,11,1,3,2,0,0,51.09,0,1,2016/2/15
City Hotel,0,76,2015,September,16,0,2,3,0,1,84,0,1,2015/9/18
City Hotel,1,112,2017,April,4,0,2,2,0,1,95,0,0,2017/1/20
City Hotel,0,21,2016,September,25,2,1,2,0,0,139,0,1,2016/9/28
City Hotel,0,414,2017,July,13,0,2,2,0,0,122.4,0,1,2017/7/15
City Hotel,0,198,2017,June,2,2,2,2,0,0,115.21,0,1,2017/6/6
City Hotel,1,213,2016,June,7,0,3,2,0,0,130,0,0,2016/1/8
City Hotel,1,283,2015,July,27,1,1,2,0,0,62,0,0,2015/6/29
City Hotel,0,17,2015,September,5,2,1,1,0,0,69.49,0,0,2015/9/8
City Hotel,1,164,2015,August,14,0,1,2,0,0,60,0,0,2015/5/19
City Hotel,0,11,2015,October,4,2,4,2,0,0,146,0,2,2015/10/10
City Hotel,1,95,2016,November,5,0,1,1,0,1,75,0,0,2016/10/21
City Hotel,0,29,2016,October,5,0,2,2,0,0,152,0,2,2016/10/7
City Hotel,0,131,2016,August,5,0,2,2,0,0,76.23,0,2,2016/8/7
City Hotel,1,167,2016,October,5,0,2,1,0,0,78.2,0,0,2016/4/25
City Hotel,0,36,2016,February,22,1,2,2,0,0,82.7,0,1,2016/2/25
City Hotel,1,195,2015,September,17,0,2,2,0,0,48,0,0,2015/7/23
City Hotel,1,105,2017,August,13,4,10,3,0,0,195,0,1,2017/4/30
City Hotel,1,286,2016,October,16,1,0,2,0,0,90,0,0,2016/6/20
City Hotel,0,23,2016,December,30,2,4,2,0,0,115.9,0,2,2017/1/5
City Hotel,1,281,2015,July,25,2,2,2,0,0,62,0,0,2015/7/6
City Hotel,1,337,2016,June,9,0,2,2,0,0,62,0,0,2015/10/21
City Hotel,1,166,2016,July,7,2,3,3,0,0,121.55,0,0,2016/3/2
City Hotel,0,196,2016,July,31,2,2,2,0,0,80.75,0,1,2016/8/4
City Hotel,1,216,2016,July,18,1,1,2,0,0,86.63,0,1,2016/4/2
City Hotel,0,5,2016,April,11,1,3,1,0,0,95,0,0,2016/4/15
City Hotel,1,50,2017,July,10,1,2,2,1,0,160,0,1,2017/6/27
City Hotel,0,59,2016,November,11,0,2,2,0,0,75,0,0,2016/11/13
City Hotel,0,22,2016,August,21,2,1,2,0,0,139,0,1,2016/8/24
City Hotel,0,4,2016,May,21,0,1,2,0,0,107,0,0,2016/5/22
City Hotel,1,117,2016,February,29,1,2,2,0,0,75,0,0,2015/12/18
City Hotel,0,1,2016,November,24,0,2,2,0,1,105,0,0,2016/11/26
City Hotel,0,29,2016,December,2,0,2,2,0,0,85,0,0,2016/12/4
City Hotel,1,79,2016,December,22,0,1,1,0,0,86.4,0,1,2016/12/11
City Hotel,1,18,2016,December,5,4,10,1,0,0,89,0,0,2016/11/21
City Hotel,1,315,2016,September,17,1,1,2,0,0,65,0,0,2016/8/19
City Hotel,1,59,2017,January,23,1,1,2,0,0,80,0,0,2016/11/25
City Hotel,0,114,2017,June,18,2,2,2,2,0,206,0,0,2017/6/22
City Hotel,0,198,2016,July,30,1,1,2,0,0,96,0,1,2016/8/1
City Hotel,0,32,2016,December,27,1,5,2,0,0,70,0,1,2017/1/2
City Hotel,0,7,2016,August,26,2,2,2,0,0,143,0,1,2016/8/30
City Hotel,1,272,2015,July,16,0,2,2,0,0,62,0,0,2015/1/1
City Hotel,0,12,2016,April,17,2,1,2,0,0,101,0,2,2016/4/20
City Hotel,1,233,2015,September,18,0,1,2,0,0,120,0,0,2015/7/8
City Hotel,1,58,2017,February,23,1,3,2,0,0,78,0,0,2016/12/27
City Hotel,0,203,2016,September,5,1,3,2,1,0,102.08,0,1,2016/9/9
City Hotel,0,198,2017,March,17,1,2,2,0,0,93.6,0,2,2017/3/20
City Hotel,0,26,2017,April,29,2,1,2,0,0,133,0,0,2017/5/2
City Hotel,0,52,2016,December,29,0,3,2,0,0,122.4,0,1,2017/1/1
City Hotel,0,195,2016,July,21,2,5,2,0,0,90.95,0,1,2016/7/28
City Hotel,0,6,2017,August,10,1,3,2,0,0,200,0,0,2017/8/14
City Hotel,1,208,2017,April,1,2,1,2,0,0,99,0,2,2016/10/3
City Hotel,1,24,2017,May,15,1,1,2,0,0,207,0,0,2017/4/22
City Hotel,1,109,2016,May,23,1,2,2,1,0,143.1,0,0,2016/2/5
City Hotel,1,357,2017,May,24,0,2,2,0,0,109.8,0,1,2017/5/10
City Hotel,0,1,2016,June,13,1,1,2,0,0,79,0,2,2016/6/15
City Hotel,1,64,2016,May,17,0,2,2,0,1,140,0,0,2016/5/5
City Hotel,0,9,2017,January,14,2,2,1,1,2,78,0,0,2017/1/18
City Hotel,0,192,2016,June,24,0,2,1,0,0,95,0,0,2016/6/26
City Hotel,1,99,2017,April,18,1,5,3,0,0,165.75,0,0,2017/1/11
City Hotel,0,3,2017,August,31,0,1,1,0,0,67,0,3,2017/9/1
City Hotel,1,70,2016,March,13,2,1,2,0,0,87.3,0,0,2016/1/3
City Hotel,1,37,2017,April,3,1,3,2,0,0,120,0,0,2017/3/15
City Hotel,0,377,2016,October,14,0,2,2,0,0,115,0,1,2016/10/16
City Hotel,0,55,2015,November,22,2,1,2,0,0,60,0,0,2015/11/25
City Hotel,1,8,2016,March,9,0,3,2,0,0,100,0,0,2016/3/3
City Hotel,1,1,2016,September,24,0,1,2,0,0,180,0,0,2016/9/24
City Hotel,1,327,2015,September,9,0,2,2,0,0,62,0,0,2015/7/2
City Hotel,1,71,2017,March,19,2,3,2,0,0,100.3,0,0,2017/1/8
City Hotel,0,27,2016,February,21,2,2,1,2,0,107.92,0,0,2016/2/25
City Hotel,0,68,2017,February,13,1,2,2,0,0,79.2,0,2,2017/2/16
City Hotel,0,296,2016,September,21,0,4,1,0,1,96,0,0,2016/9/25
City Hotel,0,222,2016,September,29,1,3,2,0,0,111.35,0,2,2016/10/3
City Hotel,0,26,2016,March,1,0,5,2,0,1,90.44,0,0,2016/3/6
City Hotel,0,2,2017,March,30,0,1,1,0,2,108,0,0,2017/3/31
City Hotel,0,271,2016,September,21,0,3,2,0,0,101.33,0,1,2016/9/24
City Hotel,0,66,2016,April,8,0,1,2,0,0,118.8,0,2,2016/4/9
City Hotel,1,213,2017,August,18,0,2,2,0,0,100.8,0,1,2017/4/25
City Hotel,0,11,2017,February,13,1,3,2,2,0,198,0,1,2017/2/17
City Hotel,1,277,2016,November,7,1,2,2,0,0,100,0,0,2016/4/4
City Hotel,1,104,2017,May,15,1,2,1,0,0,160,0,0,2017/1/31
City Hotel,1,297,2017,July,9,2,1,2,0,0,110,0,0,2016/11/25
City Hotel,0,3,2016,December,15,4,8,1,0,3,78,0,0,2016/12/27
City Hotel,0,46,2016,December,8,0,3,3,0,1,138.6,0,2,2016/12/11
City Hotel,0,217,2016,December,5,3,7,1,1,1,65.11,0,2,2016/12/15
City Hotel,0,17,2017,March,23,0,1,2,0,0,88,0,1,2017/3/24
City Hotel,0,54,2017,January,18,2,4,2,0,0,88.4,0,1,2017/1/24
City Hotel,1,137,2016,January,27,0,2,1,0,0,70,0,0,2015/10/27
City Hotel,0,34,2017,August,30,0,3,1,0,0,85,0,0,2017/9/2
City Hotel,1,176,2016,April,9,1,1,2,0,0,125,0,0,2015/11/23
City Hotel,0,23,2016,October,2,2,3,2,0,0,94.36,0,1,2016/10/7
City Hotel,1,83,2015,July,6,2,5,2,0,0,76.5,0,1,2015/5/22
City Hotel,1,305,2016,October,1,1,1,2,0,0,100,0,0,2015/12/18
City Hotel,1,101,2016,April,4,1,2,2,0,0,80,0,0,2016/2/4
City Hotel,1,270,2017,July,17,1,3,2,0,0,89.1,0,1,2016/11/12
City Hotel,1,133,2016,August,15,1,2,2,0,0,86.36,0,0,2016/4/5
City Hotel,0,213,2016,October,22,2,5,2,2,0,175.14,0,1,2016/10/29
City Hotel,0,12,2015,October,4,1,0,2,0,0,72,0,0,2015/10/5
City Hotel,1,22,2016,August,19,0,2,2,2,0,288,0,2,2016/8/2
City Hotel,0,119,2017,August,21,1,3,2,0,2,90.7,0,2,2017/8/25
City Hotel,0,221,2016,August,12,0,1,1,0,0,73,0,0,2016/8/13
City Hotel,1,240,2016,October,21,1,2,2,0,0,110,0,0,2016/3/15
City Hotel,0,73,2016,April,7,1,3,2,0,0,107.95,0,1,2016/4/11
City Hotel,0,116,2017,April,25,0,4,1,0,0,112.5,0,1,2017/4/29
City Hotel,1,168,2015,September,11,0,2,2,0,0,60,0,0,2015/7/22
City Hotel,0,60,2015,October,12,1,1,2,0,1,65,0,1,2015/10/14
City Hotel,0,52,2016,August,29,1,2,2,0,0,108,0,1,2016/9/1
City Hotel,1,44,2016,April,10,2,3,3,0,2,131.58,0,0,2016/3/2
City Hotel,0,19,2015,July,25,2,2,2,0,0,62,0,1,2015/7/29
City Hotel,0,60,2015,October,12,1,3,2,0,0,65,0,1,2015/10/16
City Hotel,1,120,2016,November,16,2,4,2,0,0,68,0,0,2016/7/20
City Hotel,1,325,2016,October,17,1,2,2,0,0,95,0,0,2016/1/6
City Hotel,1,426,2016,September,8,0,2,2,0,0,62,0,0,2015/10/21
City Hotel,1,14,2016,March,26,1,1,3,0,0,182,0,0,2016/3/21
City Hotel,1,10,2016,March,13,1,0,2,0,0,97,0,0,2016/3/5
City Hotel,0,45,2016,December,2,0,2,2,0,0,93.6,0,1,2016/12/4
City Hotel,0,185,2017,July,9,2,2,2,0,0,89.1,0,1,2017/7/13
City Hotel,1,75,2017,May,16,0,3,2,0,0,126,0,1,2017/3/17
City Hotel,0,6,2016,June,5,1,0,2,0,0,121,0,1,2016/6/6
City Hotel,1,379,2015,October,31,1,1,2,0,0,62,0,0,2015/7/23
City Hotel,0,23,2016,October,9,2,1,2,0,0,85,0,0,2016/10/12
City Hotel,1,331,2017,August,19,2,5,1,0,0,109.67,0,0,2016/9/23
City Hotel,1,155,2016,August,16,0,2,2,2,0,130.5,0,0,2016/4/17
City Hotel,0,231,2016,September,11,2,2,2,0,0,100.3,0,1,2016/9/15
City Hotel,0,12,2015,August,5,0,3,2,0,0,65,0,0,2015/8/8
City Hotel,1,70,2016,October,20,1,3,2,2,0,227.9,0,0,2016/8/11
City Hotel,0,0,2015,August,22,2,1,2,0,1,124,0,1,2015/8/25
City Hotel,0,189,2016,May,19,0,3,2,0,0,65,0,0,2016/5/22
City Hotel,1,173,2017,June,11,2,3,2,0,0,140,0,0,2016/12/20
City Hotel,0,47,2015,October,20,0,2,2,0,0,94.5,0,2,2015/10/22
City Hotel,0,133,2016,March,11,1,2,2,0,0,84.33,0,1,2016/3/14
City Hotel,0,0,2016,May,2,1,0,1,0,1,139,0,0,2016/5/3
City Hotel,0,4,2017,February,28,0,3,1,0,1,98,0,3,2017/3/3
City Hotel,0,6,2017,May,29,1,0,1,0,0,95,0,0,2017/5/30
City Hotel,1,24,2016,April,11,1,3,2,0,0,123.5,0,0,2016/3/18
City Hotel,0,14,2017,February,8,0,2,1,0,1,89,1,3,2017/2/10
City Hotel,1,342,2015,September,24,2,4,2,0,0,170,0,0,2015/8/21
City Hotel,0,129,2017,June,16,2,3,2,0,0,99,0,0,2017/6/21
City Hotel,1,55,2017,June,29,0,3,2,2,0,234.96,0,1,2017/5/14
City Hotel,0,434,2017,June,3,2,1,2,0,0,112.67,0,1,2017/6/6
City Hotel,0,137,2017,March,6,1,1,2,0,0,80,0,1,2017/3/8
City Hotel,0,56,2016,November,24,0,3,2,0,0,95.38,0,1,2016/11/27
City Hotel,0,145,2017,February,24,2,2,2,0,0,120.7,0,0,2017/2/28
City Hotel,1,7,2017,February,20,1,3,2,0,0,100.3,0,0,2017/2/16
City Hotel,1,169,2017,June,8,0,3,2,0,0,170,0,0,2016/12/21
City Hotel,0,43,2015,October,23,0,1,2,0,0,0,0,0,2015/10/24
City Hotel,1,150,2017,June,17,2,3,1,0,0,120,0,0,2017/1/18
City Hotel,0,198,2015,October,3,1,1,2,0,0,60,0,0,2015/10/5
City Hotel,0,107,2016,June,10,0,2,1,0,1,120,0,0,2016/6/12
City Hotel,1,33,2017,June,12,1,1,2,0,0,140,0,1,2017/5/11
City Hotel,0,135,2015,December,5,2,1,2,0,0,62,0,0,2015/12/8
City Hotel,1,15,2016,February,12,0,2,2,0,0,79,0,0,2016/1/28
City Hotel,0,69,2015,September,22,0,2,2,0,0,106,0,0,2015/9/24
City Hotel,0,7,2016,May,5,0,3,1,0,0,112,0,0,2016/5/8
City Hotel,0,76,2017,April,10,1,3,3,0,0,164.25,0,0,2017/4/14
City Hotel,0,9,2017,July,6,0,2,1,0,1,189,0,2,2017/7/8
City Hotel,0,6,2017,May,19,0,2,2,0,0,160,0,2,2017/5/21
City Hotel,0,59,2016,October,14,2,5,2,0,0,90.55,0,2,2016/10/21
City Hotel,1,84,2016,November,20,2,0,2,0,0,71.28,0,0,2016/11/10
City Hotel,1,176,2016,August,1,1,5,2,1,0,114.75,0,0,2016/3/5
City Hotel,0,3,2017,March,13,1,1,3,0,0,177,1,0,2017/3/15
City Hotel,1,386,2016,October,23,2,0,2,0,0,115,0,1,2016/10/18
City Hotel,1,32,2016,April,11,1,0,2,1,0,121.5,0,0,2016/4/3
City Hotel,0,10,2017,June,11,2,0,2,0,0,131,0,0,2017/6/13
City Hotel,0,111,2017,April,3,1,1,2,0,0,95,0,1,2017/4/5
City Hotel,0,124,2017,May,6,2,2,2,0,0,126,0,0,2017/5/10
City Hotel,1,278,2015,July,22,0,2,2,0,0,62,0,0,2015/1/1
City Hotel,1,279,2015,July,23,0,2,2,0,0,62,0,0,2015/1/1
City Hotel,1,349,2015,October,1,0,2,2,0,0,62,0,0,2015/1/1
City Hotel,0,126,2017,June,27,0,5,2,0,0,97.02,0,2,2017/7/2
City Hotel,0,418,2016,September,26,1,2,2,0,0,107,0,0,2016/9/29
City Hotel,1,60,2016,December,2,2,2,3,0,2,121.98,0,0,2016/11/22
City Hotel,0,75,2015,December,9,0,1,1,0,2,65,0,1,2015/12/10
City Hotel,0,72,2015,October,28,0,3,2,0,0,85.67,0,0,2015/10/31
City Hotel,1,22,2016,July,1,1,2,3,0,0,168.3,0,0,2016/6/15
City Hotel,0,85,2016,October,6,1,3,1,0,1,75,0,0,2016/10/10
City Hotel,1,119,2016,July,13,0,3,2,0,0,97.75,0,1,2016/4/19
City Hotel,1,98,2017,February,26,2,4,2,0,0,74.8,0,0,2016/11/21
